Resfam	G1CA	G1CB	G1CC	G1IA	G1IB	G1IC	G1P1A	G1P1B	G1P1C	G1P2A	G1P2B	G1P2C	G1SA	G1SC	G1STA	G1STC	G2CA	G2CB	G2CC	G2IA	G2IB	G2IC	G2P1A	G2P1B	G2P1C	G2P2A	G2P2B	G2P2C	G2SA	G2SC	G2STA	G2STB	G2STC
Chloramphenicol_Phosphotransferase_CPT	87	1	1	0	29	12	14	39	533	55	1	4	0	1	3	23	8	10	46	1	10	13	64	38	22	175	39	4	1	5	42	104	501
ClassA	98	227	240	95	238	285	1357	2220	251	36	88	128	40	299	56	151	19	31	29	7	306	6	396	168	26	464	25	35	342	45	11	6	10
ClassC-AmpC	7372	1612	3070.901	5563	4092	3078	1471	3072	5751	9666.47	1118	2862.694	8766.971	4485.676	5279.303	2428.043	6127.759	4601.497	6033	9439	2615.326	3329	4075.035	5083.357	2603	5711.979	3236.414	1889.011	8385.995	7238	7617	3390	3662
ClassD	376	259	183	21	120	738	156	62	988	273	37	64	448	457	337	88	417	443	622	1613	141	228	1566	780	135.091	1311	370	120	346	823	113	55	18
CMY-LAT-MOX-ACT-MIR-FOX	687.483	840	601	2498.64	1601	1132	847	3593	962.113	314	42	293	715	483	103	252	31	99	452	2342	280	298	312	679	214	806	148.224	792	144	427	465.002	261	11
CTXM	99	424	324	171	152	579	13	163	620	11	29	173	264	211	57	87	34	317	521	1916	125	105	344	396	136	484	27	158	233	225	387	463	10
DHA	12	9	17	0	40	56	0	11	133.843	9	2	1	83	123	33	7.143	26	615	900	2036	34	151	16	187	186	153	35	162	465	288	25	41	1
emrB	11789.424	8247.311	9450.697	11867	31992.759	9277.688	19190.858	58551.513	10911.266	14075.679	6864.529	7142.964	17728.097	10739.916	10073.057	9621.434	11450.027	12711.247	21920.378	16107.455	3708.766	13426.615	11160.241	6554.188	10835.807	15072.264	8501.14	8467.335	14681.009	7207.032	19836.187	10587.066	15515
emrE	665	465	466.119	307	439	493	345	467.244	428	633	230	231.89	1048	485.217	541	326.194	1066.29	497.617	689.843	1930	370.518	412	641.599	663.739	331	480.299	774.348	389	604.868	446	746	766.244	815.08
Erm23SRibosomalRNAMethyltransferase	747.643	671.082	439.024	1293.112	2335.769	798	1454.612	10098.702	1020.059	183	1482	481	423	819.038	389	1030	1001	308.398	1092.134	1609	423	568	2460.985	651.969	980.277	2956.927	448.024	799	1904	689.942	1942	748	1299
Erm38	258.966	186.918	95.984	352	711.516	20	22.388	107	9	72	27.116	1	24	76.962	51	23	8	15	61	7	68	285	15	31	32.371	8	40.976	104	18	338.071	16	2	0
ErmA	0	59	100	2	1891.778	7	1	5	22	0	38	35	0	57	0	37	0	0	1	21	0	10	1	0	1	0	1	6	1	1	1	0	0
ErmB	0	0	46	1	13	16	0	0	121	37	0	5	10	22	6	0	0	0	0	0	0	1.032	0	0	12.268	1	0	3	2	25.288	3	0	0
ErmC	0	6	3	0	14	1	0	0	2	0	5	3	1	0	0	13	1	1	2	0	0	0	0	0	0	0	0	0	0	8	0	0	229
Exo	0	0	5	0	0	1	0	0	0	0	0	12	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FluoroquinoloneResistantDNATopoisomerase	10298.128	7221.493	10508.66	6977.09	19516.346	9005.706	16241.354	49982.384	12595.586	7124.11	7337.544	8562.809	13658.568	8508.229	5960.938	5547.071	8229.305	6910.573	13124.802	19258.321	4622.52	8518.051	17399.542	9388.399	8135.743	18431.42	7725.682	7277.041	19928.617	12003.271	13165.617	6607.148	10250.967
GES	1	1	0	0	0	14	0	0	55	0	0	0	180	0	1	0	0	0	0	0	243	0	159	24	0	210	1	0	27	6	0	0	0
KPC	22	2	11	12	9	32	19	9	26	4	0	18	47	40	18	45	1	2	48	0	15	39	54	0	2	6	7	1	116	5	48	6	15
macA	7584.316	4521	6732.34	1343.105	1228	7197.259	1173	1616	5875	6372.28	2549.102	5191.071	9772.185	7404.761	5735	4525.66	6560.448	7675.722	13037.779	11742.696	2800.053	8045.181	9199.954	5614.981	5490.461	9453.397	4025.486	4847.592	8726	5884.477	7304.697	5415.68	6724.026
macB	71036.712	38644.336	51516.697	62111.13	110824.859	52509.176	124107.77	433579.73	86565.386	83252.558	46691.17	44699.223	113889.612	55161.874	47815.041	44346.404	66336.54	58372.708	94096.188	141116.916	23974.736	54915.65	151319.114	65731.16	50177.708	136281.787	48458.315	43182.477	84441.597	46212.545	103065.5	57195.332	75514.758
MacrolideGlycosyltransfer	416	65	94	431	109	45	25	105	147	89	55	50	37.571	95	33	57	35	17	34	1	7	31	24	50	34	20	12	26	35	62	264	135	1731
marA	348	124	176.167	7	1025	194	12	409	615	150.792	189	255	66	483.968	206	458.176	1958.999	519	977.001	59	330	278	721	162	297.953	530	678	230	1049	457	1644.391	972.372	1994
mecR1	44	3	187	0	938	53	1	2	598	18	1	175	363	387	84	276	44	49	41	0	298	0	619	228	38	802	84	88	1444	134	153	14	9
MexA	3457	2245.306	3787.231	1529	563	2632.049	256	358	1821	4324.08	1987.942	2983	13517.211	4644.982	2921.51	3220	7109	4911.227	7999.427	6967.323	2645.434	4286.287	4030	3063.714	3069.353	4993	4891.235	3160	7397.379	3992	9031.902	3345.439	4938.336
MexC	437.124	475	1474	118	75	896	187.004	1086	1263	203	942	1707	530	1727	272	1931	1269	728	1436	4645	443.86	272	3692	1431.438	858	3296.622	586	732	2738.127	1128	2988.214	1193	1556
MexE	4008.01	2717.366	5599.067	3546	778	4463.097	353	661.274	3851.808	3573.046	2170.884	4532.434	18396.179	5446.208	2916.549	3255.896	4956	4466.292	9574.045	10454	2475.96	3847.165	4861.34	3193.617	2464.241	7019.49	2462.506	2149	6813.837	2249.932	10321.942	3695.728	7431.771
MexH	2423.614	933.5	1308	850	257	1174.486	198	313	3578.881	3545.002	302	1093.71	17344.002	1932.999	3209.986	553	4200.81	4611	6206.305	3979	2913.768	3797	6036.001	2596.236	3764	6219	3505.674	3011	9252.135	2856.363	2584.755	1930.724	752
MexX	657	513	1047.284	2042	179	1253	18	107	578.317	463	132	590	316	1225	250	529.004	216	742	846	1518	580	278	708	588.157	294	1378	442.974	342	489	250	805.986	116	37
MFSAntibioticEffluxPump	11519.371	8318.178	10123.962	11382.643	15834.502	10737.846	13936	30846.612	10819.047	11200.222	6785.527	8386.91	23295.856	10613.554	8210.031	9350.088	14444	11909.559	20551.156	15485.255	5396.376	10705.925	12731.322	7605.008	9388.471	14365.373	8699.184	7545.514	13221.067	7609.258	21129.165	11985.458	17946.862
MoxA	0	0	0	0	0	0	0	3	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0
mprF	748.867	1933.96	1409.606	1880	6531.495	1507	168	293.601	1224	1595.934	235.171	555	7529.725	1022.1	1578.849	945.1	2016.785	1941.254	4074.316	3166.589	1464.772	3196.253	2898.116	1023	2799.186	4054.317	1445.869	1546.802	2271.718	2369	1337.156	1228.425	2501
msbA	34114.316	25601.992	28687.534	43262.193	73411.224	29717.895	62868.08	254479.806	49180.184	34141.45	32826.572	24260.87	69024.184	33718.65	23109.464	30416.99	33062.181	32306.323	54950.061	77798.974	16669.545	27873.782	77537.898	30537.914	28988.209	74097.681	28880.946	21409.31	47233.675	24620.734	57921.309	30073.037	38144.867
norA	1226	560	1201.706	53	3913.036	448.023	68	65	142	2193.427	446.211	1449.87	1827.991	836	1104	317	305	1061.258	2090.548	1	346	1685	486.042	485	1158.433	537.521	1176.259	930	380.12	215	172.101	1342	1568
PC1	0	125	41	5	2546	27	1	10	0	2	50	21	0	14	1	5	2	2	2	0	0	14	0	0	1	0	2	2	0	1	0	0	2
phoQ	7128.746	4366.186	6119.561	4789.992	5252.666	5793.521	4338.97	5659.925	5406.909	10657.674	1261.109	5128.038	26741.413	5925.9	6983.475	2778.959	15552.126	8668.41	12876.066	16288.315	7213.8	7763.074	8554.099	6630.991	7313.929	10985.411	9082.985	5862.284	14380.986	6775.859	9107.579	5768.878	4113.056
QuinoloneResistanceProteinQnr	351	275	59	287	402	24	17	194	194	75	93	28	314	159	46	71	177	460	665	1402	180.561	130	96	241	154	499	134	181	965	888	1151	219	658
ramA	188.028	201.009	717	4	3004	336	13	57	713	195	399.985	915	23	604	79	620.098	308	297	176.27	124	28	88	385.541	158	23.036	428	780.014	71	10	598	1845	631	478.013
RNDAntibioticEffluxPump	56602.819	30569.549	53374.198	31715.062	24567.423	51727.3	19862.121	83289.926	60758.634	59579.021	15651.891	42631.728	168270.694	61206.107	46913.74	28708.202	62349.102	67157.084	104401.815	121725.532	39312.6	60944.243	93098.648	55390.247	50609.703	109175.365	53826.844	48191.59	141521.507	75111.221	75368.579	40802.767	51367.004
robA	1427	1495	1662	28	2674	1283	68	122	1276.447	812	2557.242	1497	405	2215.499	539.633	2801.916	1839	730	1345	665	625	659.5	1745	932.269	307.219	1776.5	627	456	477	614	5187.064	2555.628	6420
romA	1114	785	1058	467	313	1534	55	178	2017.273	239	1488.055	1283	3898	2484	617	1700	2988	1059	2146	2688	1202	827	2781	1046	652.112	3357	581	931	5799	1596	3354.002	1208	1764
SHV-LEN	8	7	0	0	5	0	12	35	8	1	0	0	365	18	63	12	0	0	2	1	17	6	24	51	14	125	2	38	458	276	1	10	1
SME	0	0	11	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
soxR	2607	1592	2168.383	2604	1885	1573	2169	11798	1838.09	2958	1325.84	1809	6206	2304	2310	1738.972	2483	2463	4625	4907	1528	3472	5247.904	2674	2049	4971	1712.34	2367	2732.953	1276	3580	2092	2974
SubclassB1	66	53	896	16	1317	385	19	415	814	31	113.748	1003	705	587.5	299	128	135	184	81.913	621	277	36.75	659	137	63.382	520	135	107.9	1346	172.651	43	14	6
SubclassB2	1	1	1	0	2	7	0	2	3	21	0	1	16	0	3	0	0	1	1	0	16	0	4	0	4	0	0	1	1	4	1	431	0
SubclassB3	3213	2622.885	4308.375	4091.445	9205.782	4520.935	4246.295	13080.131	4703.695	1665	2517.983	3767.496	3749.106	3712.346	1113.065	2560.31	1657.126	2754.083	4555.53	4463.044	2456.18	2520.154	5988.354	2941	2073.197	5822.328	2454.555	1521	3322.114	3678.143	4440.42	2255	4008.135
TE_inactivation	2277	1343.237	761	1219	2396	861	1565	3243.389	1035	2080	313.843	285.348	726	857	732	241.479	475	692	765	2480	575	1009.753	1021.805	1328	635.662	1531	1511.933	1119.17	518	2852.5	1642.005	559	2345
TEM	8	3	7	1	9	3	127	936	26	0	14	10	2	88	1	32	92	10	23	7	1	0	5	30	13	1	4	3	3	8	507.945	64	24
TetD	277	12	22	0	3	46	0	0	124	0	5	3	0	9	2	1	48	6	39	1	2	35	1	0	1	0	7	0	0	1	77	166	1403
TetH-TetJ	10	2	0	1029	71	4	489	41	4	14	4	2	569	2	0	2	1	0	1	0	4	2	18	0	1	35	5	2	6	0	1	6	0
Tetracycline_Resistance_MFS_Efflux_Pump	7390.504	4325.247	3845.105	12473.426	27685.572	3723.065	25420.262	96246.139	9915.354	7092.813	3239.809	3247.05	11916.418	5993.297	5203.55	4665.013	6672	7999.825	16148.963	11810.199	2278.855	7597.803	7286.129	5094.609	7557.708	7932	5906.626	5300	13050.37	5559.495	11235	4565.387	3431.152
Tetracycline_Resistance_Ribosomal_Protection_Protein	11536.438	9725.465	14847.585	7148.427	20374.751	11737.767	14870.179	28397.658	18315.376	4304.642	11847.224	12293.462	10620.231	12516.756	5823.216	8040.723	6855.981	9020.093	18310.129	22656.161	5829.072	9449.076	22379.174	13374.067	13165.615	26668.91	9870.925	9295.768	32741.501	15658.325	14344.559	9822.497	13124.564
TetX	1851.614	515.25	234.725	1685.66	3371	883	1664.443	1600	1519.221	2348.586	745.147	345.395	4605	1013	1540.586	493	1792	1431.916	1112.707	2842	899.79	1125.578	1536.17	2210	1319.802	2429	1774.462	1335	1992.069	2613	1950.364	789.317	1951.504
TetY	4	1	2	0	2	1	0	1	42	0	1	2	12	11	1	18	2	0	0	1448	2	0	21	14	0	105	0	1	236	3	1	2	1
tolC	5298.642	4594	5768.349	4777.372	1327.188	5100	1135.153	2736.017	2693.825	6109.387	1511.999	4366	10275.037	4177	5645.258	2608.999	5806	7629.915	12719.438	2685	3673.002	8908.336	3686.293	3984	6386.95	5112	7060.736	4679.665	7892.996	4949.071	5480.549	4832.15	5463
vanA	571	962	2414	952	906.399	1149.134	2272.25	1386.002	565	286.955	1879	2369.218	726	2056.158	138	1704.375	113	663.5	465.027	814.087	322	684.103	514.35	995.397	389	791	1293	984	946	1176	221	567.345	90
vanB	1395.443	312.772	1057.237	794	320.5	343	440	92	323	2485.856	214.606	1077.545	5376.071	633.306	768.924	236.187	911.134	1143.5	2048.232	3233	345	1010.098	537.125	206.489	262.885	873	1014.055	390.441	324.084	215.5	2408.024	957	1233.13
vanC	172.819	489.276	398	8	2590.812	611.114	62	278	984.922	72.5	422.163	355	386	521	241	156.592	38	172	528.707	305	73	79	863.728	802.768	646	1477	408	570	3504.976	913	39	33	632
vanD	1676.452	848.879	472.5	1396	1142.9	362	1272	17809.575	847.305	2714.703	127.225	161	5679.924	889	2146.713	554.05	4757	2130	4933.95	255.959	658	2409.142	2144.935	498.557	2539.985	1472	1541	1127.559	2906	464.5	3163.98	1204.655	1415.983
vanH	11333.804	7863.906	7667.749	10783.358	16702.513	8731.016	12113.301	46159.602	10497.171	12455.868	4530.699	5009.984	20210.513	6354.824	9136.349	3857.001	9232.806	11067.081	16481.894	21681	5275.485	10761.23	14562.294	10731.525	9318.463	14871.965	9941.685	7203	11853.233	7674.688	9796.769	6842.445	7230.13
vanR	30425.337	20692.871	46802.079	22790.243	34781.804	37219.626	17579.169	64267.396	47519.131	34146.46	10970.068	42341.582	79283.667	39088.577	24778.188	16122.316	33553.686	36593.188	57526.176	45211.832	19117.693	33809.108	40694.587	28253.792	29562.873	46854.808	39344.401	24454.675	76328.853	37328.535	26126.525	21145.563	25990.287
vanS	52435.045	30911.591	50653.377	30301.296	65148.305	40081.558	37416.178	162436.761	70517.76	66566.901	20662.015	44608.577	97681.337	52982.83	47245.518	25107.749	35853.54	66107.524	117757.88	93320.529	25747.823	69193.631	72801.463	41610.775	58299.521	85549.847	49552.754	41574.74	136833.608	63781.747	33376.983	34097.292	38027.214
vanT	2307	2195.586	2938.357	1846.411	6009.546	2908	3144	3253.927	3027	1649	1799	2815	8199.342	3091	2529	1764.33	3575	2381.541	5542.6	3553.009	1110.676	2559.57	4357	2225.364	3392.225	5899	2764.744	2963	9706.136	4085.451	3102.5	2202.758	2379
vanW	77	35	106	2	763	183	3	20	171	4	8	208	119	105	182	77	391	262	55	35	32	4	205	19	10	126	243	13	110	20	309	66	3
vanX	117	28	13	73	23	66	2	42	369	259	11	9	99	65.891	108	16	75	53	29	703	17	33	156	156	10	246	32	9	33	376	259	41	3
vanY	357	151	360	362	3070.624	64	3113	12304	501	397	374	494	33	232.076	179	402	18	475	1052	259	15	442	268	40	402	98	127	126	646	255	820	118	196
vanZ	0	0	5	1	0	3	0	1	45	4	1	30	0	0	1	49	0	1	2	50	5	1	8	0	1	0	2	5	0	1	9	3	6
VEB-PER	308	26	18	0	0	107	4	6	397	31	21	47	202	96	23	62	1	48	26	31	188	54	111	264	20	563	13	8	448	778	11	9	8
VIM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	1	41	3	1	0	0	0	31	0
